,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Tot Cases/1M pop,Date,Longitude,Latitude
110,Venezuela,2,2.0,0.0,0.0,0.0,2,0.0,0.1,2020-03-13 21:43:25.487830,-66.18184123,7.12422421
111,Guyana,1,0.0,1.0,0.0,0.0,0,0.0,0.0,2020-03-13 21:43:25.487830,-58.98202459,4.79378034
112,Sudan,1,1.0,1.0,1.0,0.0,0,0.0,0.0,2020-03-13 21:43:25.487830,29.94046812,15.99035669
113,Andorra,1,0.0,0.0,0.0,0.0,1,0.0,0.0,2020-03-13 21:43:25.487830,1.56054378,42.54229102
114,Jordan,1,0.0,0.0,0.0,1.0,0,0.0,0.1,2020-03-13 21:43:25.487830,36.77136104,31.24579091
115,Nepal,1,0.0,0.0,0.0,1.0,0,0.0,0.0,2020-03-13 21:43:25.487830,83.91582640000001,28.24891365
116,Bhutan,1,0.0,0.0,0.0,0.0,1,0.0,0.0,2020-03-13 21:43:25.487830,90.40188155,27.41106589
117,Ethiopia,1,1.0,0.0,0.0,0.0,1,0.0,0.0,2020-03-13 21:43:25.487830,39.60080098,8.62278679
118,Gabon,1,1.0,0.0,0.0,0.0,1,0.0,0.4,2020-03-13 21:43:25.487830,11.7886287,-0.58660025
119,Guatemala,1,1.0,0.0,0.0,0.0,1,0.0,0.1,2020-03-13 21:43:25.487830,-90.36482009,15.69403664
120,Guinea,1,1.0,0.0,0.0,0.0,1,0.0,0.1,2020-03-13 21:43:25.487830,-10.94066612,10.43621593
121,Kenya,1,1.0,0.0,0.0,0.0,1,0.0,0.0,2020-03-13 21:43:25.487830,37.79593973,0.59988022
122,Mauritania,1,1.0,0.0,0.0,0.0,1,0.0,0.2,2020-03-13 21:43:25.487830,-10.34779815,20.25736706
123,Mongolia,1,0.0,0.0,0.0,0.0,1,0.0,0.3,2020-03-13 21:43:25.487830,103.0529977,46.82681544
124,Saint Lucia,1,1.0,0.0,0.0,0.0,1,0.0,0.0,2020-03-13 21:43:25.487830,-60.96969923,13.89479481
125,Suriname,1,1.0,0.0,0.0,0.0,1,0.0,0.0,2020-03-13 21:43:25.487830,-55.9123457,4.13055413
126,Togo,1,0.0,0.0,0.0,0.0,1,0.0,0.1,2020-03-13 21:43:25.487830,0.96232845,8.52531356
127,Trinidad and Tobago,1,0.0,0.0,0.0,0.0,1,0.0,0.7,2020-03-13 21:43:25.487830,-61.26567923,10.45733408
